Filière Baccalauréat ;Avez-vous essayé de prendre des certifications en ligne?;Comment mesurez-vous votre niveau en langue française (durant le baccalauréat) ?;Comment mesurez-vous votre niveau en langue anglaise (durant le baccalauréat) ?;Comment mesurez-vous votre niveau en mathématique (durant le baccalauréat) ?;Comment mesurez-vous votre capacité à vous adapter à des changements continus ?;Comment mesurez-vous votre capacité à travailler sous pression (stresse) ?;Comment mesurez-vous votre capacité à travailler en groupe;Est-ce que vous avez besoin que l’information soit explicite pour la comprendre (1), ou vous pouvez comprendre avec le moindre d’information possible(2)? ;Domaine après Baccalauréat
BAC SCIENCES PHYSIQUES;Oui;3;3;4;4;3;5;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;3;4;5;4;4;1;Informatique
SVT BAC;Oui;2;2;5;4;4;3;1;Technique (Mécanique, électricité, …)
BAC SCIENCES MATHÉMATIQUES;Oui;2;3;5;5;5;4;2;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Oui;3;3;3;3;2;5;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;2;3;4;5;4;5;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;3;4;3;3;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;5;5;4;4;4;4;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;3;4;4;4;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;3;4;5;5;4;2;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;4;4;5;4;3;2;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES ÉCONOMIQUES;Oui;4;3;5;3;3;5;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;3;4;4;3;3;3;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;4;3;4;5;3;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;5;4;5;4;4;3;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;3;4;4;3;4;1;Informatique
BAC TECHNIQUES;Oui;1;3;4;3;3;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;4;4;5;5;5;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;3;4;4;4;5;4;2;Informatique
SVT BAC;Oui;5;4;2;4;4;5;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;3;5;5;5;5;2;Technique (Mécanique, électricité, …)
SVT BAC;Oui;3;4;3;3;4;3;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;3;3;3;4;4;2;2;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;5;3;2;4;3;3;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;3;2;3;5;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;4;5;4;4;5;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;4;5;4;3;3;2;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Oui;5;3;4;5;4;5;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;3;4;5;5;5;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;4;2;4;4;3;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Non;5;4;5;3;4;2;1;Informatique
BAC SCIENCES PHYSIQUES;Non;3;2;3;3;3;4;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;4;3;3;4;3;4;1;Industrie
BAC SCIENCES PHYSIQUES;Non;3;2;3;5;4;5;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Non;3;3;5;2;3;2;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES MATHÉMATIQUES;Non;4;3;4;3;3;4;1;Informatique
BAC SCIENCES PHYSIQUES;Non;4;5;4;4;4;4;2;Informatique
SVT BAC;Non;5;5;4;4;4;4;1;Médecine
BAC SCIENCES PHYSIQUES;Non;4;4;5;3;3;4;2;Médecine
BAC SCIENCES PHYSIQUES;Oui;2;1;4;3;4;3;1;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;4;3;4;3;2;5;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;3;5;3;3;4;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Oui;3;2;4;3;4;4;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES MATHÉMATIQUES;Oui;4;3;5;4;4;3;2;Scientifique (Chimie, Biologie, …)
BAC TECHNIQUES;Non;3;1;4;4;5;5;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;2;4;4;3;3;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;2;3;3;4;4;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Non;3;3;3;2;2;4;1;Informatique
BAC SCIENCES ET TECHNOLOGIES ÉLECTRIQUES;Oui;4;3;4;4;3;5;1;Informatique
BAC SCIENCES PHYSIQUES;Non;1;2;3;3;5;1;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;3;3;4;4;4;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;4;2;3;3;5;4;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;3;4;4;5;5;4;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;4;4;3;3;4;1;Informatique
BAC SCIENCES PHYSIQUES;Non;4;5;4;5;4;4;1;Informatique
BAC SCIENCES PHYSIQUES;Non;3;2;5;5;5;4;2;Informatique
BAC LETTRES;Oui;2;1;1;5;5;1;2;Agriculture
BAC SCIENCES PHYSIQUES;Oui;3;2;5;5;4;3;2;Technique (Mécanique, électricité, …)
BAC SCIENCES MATHÉMATIQUES;Oui;2;4;4;4;3;5;1;Informatique
SVT BAC;Non;3;3;5;3;1;2;2;Scientifique (Chimie, Biologie, …)
BAC TECHNIQUES;Non;4;3;5;4;5;5;1;Économique (Marketing, Management, …)
BAC SCIENCES ET TECHNOLOGIES ÉLECTRIQUES;Non;4;3;3;4;5;5;2;Technique (Mécanique, électricité, …)
BAC SCIENCES PHYSIQUES;Non;4;3;5;4;3;5;1;Technique (Mécanique, électricité, …)
BAC SCIENCES MATHÉMATIQUES;Non;5;3;4;3;3;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;2;1;4;3;4;4;1;Informatique
BAC SCIENCES ÉCONOMIQUES;Non;3;1;3;3;2;5;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;1;5;3;4;3;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;5;4;5;2;4;3;2;Informatique
SVT BAC;Non;4;5;4;5;5;5;2;Industrie
BAC SCIENCES ET TECHNOLOGIES MÉCANIQUES;Oui;3;2;4;4;3;3;2;Technique (Mécanique, électricité, …)
BAC SCIENCES PHYSIQUES;Non;5;5;5;5;5;5;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;2;5;3;4;4;2;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;4;4;4;4;3;5;2;Industrie
BAC SCIENCES PHYSIQUES;Non;4;5;4;4;4;3;2;Technique (Mécanique, électricité, …)
SCIENCES HUMAINES;Oui;3;2;1;2;2;2;2;Droit
BAC SCIENCES PHYSIQUES;Oui;4;3;3;4;3;4;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;2;1;3;4;3;4;1;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;2;3;3;3;4;3;2;Informatique
BAC SCIENCES PHYSIQUES;Non;3;3;4;4;5;5;1;Technique (Mécanique, électricité, …)
BAC SCIENCES PHYSIQUES;Oui;3;3;2;4;4;4;2;Informatique
SVT BAC;Non;3;2;3;4;3;3;2;Économique (Marketing, Management, …)
SVT BAC;Oui;2;1;4;3;2;5;1;Économique (Marketing, Management, …)
SVT BAC;Oui;2;1;4;3;2;5;1;Économique (Marketing, Management, …)
SVT BAC;Oui;3;2;5;3;5;5;1;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;3;4;3;3;3;4;2;Informatique
SVT BAC;Oui;3;2;5;3;2;3;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;5;3;5;5;5;5;1;Informatique
BAC SCIENCES PHYSIQUES;Non;3;3;3;4;3;4;2;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Oui;3;3;4;3;2;3;1;Informatique
BAC SCIENCES PHYSIQUES;Non;3;2;5;3;3;3;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;3;2;4;3;4;3;1;Économique (Marketing, Management, …)
BAC SCIENCES MATHÉMATIQUES;Oui;4;3;3;4;5;4;2;Économique (Marketing, Management, …)
SVT BAC;Non;3;3;2;5;2;4;1;Culturel
SVT BAC;Non;3;4;4;5;3;5;2;Économique (Marketing, Management, …)
BAC TECHNIQUES;Oui;3;2;3;4;3;4;2;Technique (Mécanique, électricité, …)
BAC SCIENCES PHYSIQUES;Non;3;2;4;3;2;3;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;3;5;4;3;5;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;4;3;5;4;4;4;2;Informatique
SCIENCES HUMAINES;Non;2;3;1;4;3;5;1;Culturel
BAC SCIENCES MATHÉMATIQUES;Non;4;3;4;4;3;3;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;3;2;4;4;4;2;Technique (Mécanique, électricité, …)
BAC SCIENCES PHYSIQUES;Non;2;4;3;2;2;3;1;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;5;4;4;4;4;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;1;3;4;5;3;1;Technique (Mécanique, électricité, …)
SVT BAC;Oui;3;2;4;5;4;4;1;Technique (Mécanique, électricité, …)
BAC SCIENCES MATHÉMATIQUES;Oui;3;3;5;4;4;5;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;4;4;4;4;5;4;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Non;4;4;5;4;2;5;2;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Oui;2;3;3;3;3;4;1;Informatique
BAC SCIENCES PHYSIQUES;Non;2;1;4;3;3;3;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES MATHÉMATIQUES;Oui;4;3;4;3;2;2;2;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;4;3;5;4;5;3;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;2;4;4;4;3;2;2;Informatique
BAC SCIENCES ÉCONOMIQUES;Non;4;4;4;5;5;5;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;4;2;4;3;5;4;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;3;4;3;4;5;2;Industrie
SVT BAC;Non;2;2;4;3;1;3;1;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;4;5;3;3;4;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;4;4;5;5;5;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;4;3;5;5;4;2;Informatique
SVT BAC;Oui;3;2;5;4;3;3;1;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;4;5;4;3;1;5;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;4;3;5;5;4;3;2;Technique (Mécanique, électricité, …)
BAC SCIENCES PHYSIQUES;Oui;2;2;4;4;4;4;1;Informatique
BAC SCIENCES PHYSIQUES;Non;4;4;5;3;2;5;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Non;3;2;5;4;3;4;1;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;2;2;5;3;3;5;2;Économique (Marketing, Management, …)
SVT BAC;Non;3;3;2;4;1;3;1;Économique (Marketing, Management, …)
SVT BAC;Oui;3;2;4;4;3;4;2;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Non;5;5;4;5;4;4;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;3;2;4;3;3;4;2;Informatique
BAC SCIENCES PHYSIQUES;Non;2;1;5;4;2;3;2;Médecine
BAC SCIENCES MATHÉMATIQUES;Oui;3;3;3;3;2;3;1;Informatique
BAC SCIENCES PHYSIQUES;Non;2;3;5;3;4;2;1;Médecine
SVT BAC;Non;3;3;3;4;2;4;1;Culturel
BAC LETTRES;Non;5;2;1;4;3;3;1;Scientifique (Chimie, Biologie, …)
SVT BAC;Non;3;4;2;4;3;5;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Non;3;3;5;4;3;5;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;4;5;5;5;5;2;Informatique
BAC SCIENCES PHYSIQUES;Non;3;3;4;2;3;2;2;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Non;4;3;3;4;2;3;1;Médecine
BAC SCIENCES PHYSIQUES;Non;2;1;4;2;1;2;1;Médecine
BAC SCIENCES PHYSIQUES;Non;3;3;1;3;2;4;2;Informatique
SVT BAC;Non;3;1;4;3;3;5;2;Médecine
BAC SCIENCES PHYSIQUES;Oui;3;2;3;4;4;4;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;3;2;3;4;3;4;2;Informatique
BAC SCIENCES PHYSIQUES;Non;3;2;4;5;5;3;2;Médecine
BAC SCIENCES ET TECHNOLOGIES ÉLECTRIQUES;Non;3;3;2;3;2;3;1;Technique (Mécanique, électricité, …)
SVT BAC;Oui;3;3;2;3;2;2;1;Informatique
SVT BAC;Non;3;3;4;5;5;4;2;Médecine
BAC SCIENCES PHYSIQUES;Non;3;3;4;5;5;3;2;Industrie
BAC SCIENCES PHYSIQUES;Non;1;1;2;3;5;5;2;Médecine
BAC SCIENCES PHYSIQUES;Oui;3;1;5;4;4;3;2;Médecine
BAC SCIENCES MATHÉMATIQUES;Non;3;4;3;3;2;4;1;Informatique
SVT BAC;Oui;3;2;4;5;4;3;2;Scientifique (Chimie, Biologie, …)
SVT BAC;Non;3;4;4;4;4;4;1;Scientifique (Chimie, Biologie, …)
SVT BAC;Non;5;2;2;5;5;3;2;Industrie
BAC SCIENCES MATHÉMATIQUES;Non;2;2;4;4;4;5;1;Informatique
SVT BAC;Oui;3;2;2;1;1;2;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Oui;4;3;4;3;1;5;1;Informatique
SVT BAC;Non;2;3;3;3;2;2;1;Médecine
BAC SCIENCES PHYSIQUES;Oui;5;3;5;5;1;4;2;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Oui;2;3;4;4;5;4;2;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;4;2;3;4;4;4;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;3;4;5;4;5;2;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Oui;2;3;5;5;5;4;1;Informatique
SVT BAC;Non;3;2;3;3;2;4;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Oui;4;3;4;3;3;4;1;Informatique
BAC SCIENCES PHYSIQUES;Non;4;4;5;4;4;5;1;Technique (Mécanique, électricité, …)
BAC SCIENCES PHYSIQUES;Oui;3;2;5;5;3;5;1;Informatique
SVT BAC;Oui;4;3;4;4;4;5;1;Informatique
SVT BAC;Oui;3;4;2;4;5;1;2;Technique (Mécanique, électricité, …)
BAC SCIENCES PHYSIQUES;Oui;4;3;4;4;4;3;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;3;5;5;3;4;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;3;4;3;4;5;2;Industrie
BAC SCIENCES MATHÉMATIQUES;Oui;3;4;4;5;4;4;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;2;4;5;5;4;3;2;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;5;3;4;3;4;3;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;2;5;4;4;5;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;2;3;3;4;5;5;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;2;4;5;4;5;1;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;2;2;3;1;5;3;2;Technique (Mécanique, électricité, …)
BAC SCIENCES PHYSIQUES;Non;2;1;5;5;5;4;2;Informatique
BAC TECHNIQUES;Oui;4;3;2;4;1;5;1;Informatique
BAC LETTRES;Non;3;1;2;3;4;4;1;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;3;5;4;4;4;5;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;3;4;4;4;3;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;2;2;5;4;4;2;Informatique
BAC SCIENCES ÉCONOMIQUES;Non;3;2;2;3;3;3;2;Économique (Marketing, Management, …)
SVT BAC;Oui;4;3;5;4;4;5;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;5;4;5;3;1;3;1;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;4;2;4;5;5;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;1;5;4;3;5;2;Économique (Marketing, Management, …)
BAC LETTRES;Oui;5;2;2;4;4;3;2;Droit
BAC SCIENCES MATHÉMATIQUES;Oui;3;2;5;5;5;5;1;Informatique
BAC TECHNIQUES;Oui;3;3;3;4;3;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;3;4;4;4;3;1;Informatique
BAC SCIENCES ET TECHNOLOGIES ÉLECTRIQUES;Oui;3;3;4;5;5;5;1;Informatique
BAC SCIENCES ET TECHNOLOGIES ÉLECTRIQUES;Oui;3;4;3;3;3;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;4;3;4;4;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;2;5;4;3;3;1;Informatique
SCIENCES HUMAINES;Oui;3;5;3;5;5;3;2;Droit
BAC SCIENCES PHYSIQUES;Oui;4;4;4;4;4;4;1;Informatique
BAC SCIENCES PHYSIQUES;Non;3;1;4;3;4;5;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Non;3;3;4;4;5;5;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;3;3;4;4;4;1;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;4;5;3;5;5;5;1;Informatique
BAC SCIENCES MATHÉMATIQUES;Oui;3;3;4;5;4;4;2;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;3;4;5;5;5;2;Informatique
SVT BAC;Oui;2;1;2;4;3;4;2;Informatique
SVT BAC;Oui;2;1;2;4;3;4;2;Informatique
BAC LETTRES;Oui;5;5;1;3;3;1;1;Agriculture
BAC SCIENCES PHYSIQUES;Oui;1;1;4;5;3;3;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Oui;4;4;3;5;4;5;2;Informatique
BAC SCIENCES ET TECHNOLOGIES ÉLECTRIQUES;Oui;4;4;4;4;4;4;2;Informatique
SVT BAC;Oui;4;4;4;4;4;5;2;Scientifique (Chimie, Biologie, …)
BAC SCIENCES MATHÉMATIQUES;Non;4;2;3;3;2;3;1;Scientifique (Chimie, Biologie, …)
SVT BAC;Oui;3;4;2;3;3;2;2;Culturel
BAC SCIENCES PHYSIQUES;Oui;3;2;4;3;3;3;1;Technique (Mécanique, électricité, …)
BAC SCIENCES MATHÉMATIQUES;Oui;3;4;4;5;5;4;1;Informatique
BAC SCIENCES PHYSIQUES;Oui;3;3;4;3;5;5;1;Médecine
BAC SCIENCES MATHÉMATIQUES;Oui;5;3;4;5;4;4;2;Informatique
SVT BAC;Oui;5;5;3;4;5;5;2;Informatique
SVT BAC;Non;3;4;5;5;3;4;1;Économique (Marketing, Management, …)
BAC SCIENCES ET TECHNOLOGIES MÉCANIQUES;Oui;4;2;5;4;4;5;2;Technique (Mécanique, électricité, …)
BAC SCIENCES PHYSIQUES;Non;4;3;4;5;5;5;1;Informatique
SCIENCES HUMAINES;Oui;2;4;3;4;4;4;2;Droit
BAC SCIENCES MATHÉMATIQUES;Oui;5;3;4;3;3;5;2;Informatique
SVT BAC;Oui;5;5;5;5;5;5;2;Informatique
SCIENCES HUMAINES;Oui;3;4;1;3;3;2;2;Droit
SCIENCES HUMAINES;Non;1;2;1;3;3;3;1;Droit
BAC SCIENCES PHYSIQUES;Oui;4;2;3;2;2;3;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Non;4;5;4;4;5;5;1;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;4;2;3;3;4;5;1;Médecine
BAC SCIENCES ÉCONOMIQUES;Non;3;3;1;5;4;5;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;3;3;4;4;3;3;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES PHYSIQUES;Non;4;3;5;4;5;3;1;Médecine
BAC SCIENCES MATHÉMATIQUES;Oui;3;3;5;4;5;4;1;Informatique
SVT BAC;Non;3;3;4;4;3;5;2;Médecine
BAC SCIENCES PHYSIQUES;Non;4;5;4;3;3;5;1;Informatique
BAC SCIENCES PHYSIQUES;Non;2;3;5;3;4;4;1;Scientifique (Chimie, Biologie, …)
BAC SCIENCES MATHÉMATIQUES;Oui;4;3;5;4;4;5;2;Informatique
BAC LETTRES;Oui;2;5;1;4;5;5;1;Droit
SCIENCES HUMAINES;Oui;3;3;1;2;4;3;1;Droit
SVT BAC;Non;3;2;1;1;2;1;1;Droit
BAC SCIENCES PHYSIQUES;Non;4;2;2;5;3;5;2;Droit
BAC SCIENCES PHYSIQUES;Oui;5;4;3;4;1;4;1;Technique (Mécanique, électricité, …)
BAC SCIENCES PHYSIQUES;Non;3;2;4;3;2;3;2;Médecine
BAC SCIENCES PHYSIQUES;Oui;3;4;5;4;2;5;2;Informatique
BAC SCIENCES MATHÉMATIQUES;Non;3;5;4;5;4;5;2;Informatique
BAC SCIENCES ÉCONOMIQUES;Non;3;4;1;3;3;4;2;Économique (Marketing, Management, …)
BAC SCIENCES PHYSIQUES;Oui;3;2;3;4;4;5;2;Informatique
